check,status,value_in_tex,value_from_analysis,note
C4 accuracy vs solo (trial-level),OK,7.9,7.8999999999999915,
C4-C1 question-level delta,OK,7.0,7.0,
Spearman rho,OK,0.95,0.952,
Spearman exact p,OK,0.001,0.00114,
rho excluding two weakest,OK,0.94,0.943,
sweep min delta,OK,3.0,3.0,
sweep max delta,OK,7.9,7.9,
n deltas including zero,OK,4.0,4,
consensus same-answer flip,OK,5.95,5.95,
consensus diff-answer flip,OK,6.58,6.58,
same-answer rate,OK,16.4,16.4,
natural flip rate,OK,29.7,29.7,
instructed flip rate,OK,14.4,14.4,
C4split accuracy (generated table),OK,86.3,86.3,
total API focal trials,OK,470.0,470,
main pool trials,OK,500.0,500,
probe trials,OK,700.0,700,
C4 vs C4H Holm p (table vs notes),OK,0.006,0.006,
PDF contains no '??',OK,0,0,
every \ref resolves,OK,22 refs,0 unresolved,
